venturecaptialform,desc,keyppl,datefounded,blog,website,twitter,location
BNP Paribas,French bank and financial services company, ,23-May-00, ,group.bnpparibas,@bnpp_recrut,Paris 
Alpha Venture Partners,Alpha Venture Partners is a growth and expansion stage venture capital firm focused on software and information technology sectors., , , ,alphavp.com,@alphavp,New York City 
Aligned Partners,"Aligned Partners is a venture capital firm specializing in early stage, startup, and growth capital investments.", , , ,alignedvc.com,@alignedpartners,"Menlo Park, California "
Salesforce Ventures,Salesforce Ventures is the venture capital arm of , , ,medium.com/salesforce-ventures ,salesforce.com/company...entures/,@salesforcevc, 
Bowery Capital,Bowery Capital is an early-stage venture capital investor based in New York., , , ,bowerycap.com, ,New York City San Francisco 
Baird Capital,"Baird Capital is a venture capital and private equity firm founded in 1989 and headquartered in Chicago, IL. ", ,1989, ,bairdcapital.com,@rwbaird,Chicago 
Kleiner Perkins Caufield & Byers,Kleiner Perkins is an American venture capital firm headquartered on Sand Hill Road in Menlo Park in Silicon Valley., , ,kpcb.com/news ,kleinerperkins.com,@kpcb,"Menlo Park, California "
KKR,Private equity fund manager, , , ,kkr.com,@kkr_co,New York City 
DFJ,DJF (Draper Fisher Jurveston) is a venture capital firm operating out of, , ,medium.com/@dfjvc ,dfj.com,@dfjvc,"Menlo Park, California "
Bill & Melinda Gates Foundation,?, ,1994, ,gatesfoundation.org,@gatesfoundation,Seattle 
SoftBank Vision Fund,SoftBank Vision Fund is a subsidiary of , , , ,visionfund.com, ,London 
FundersClub,Venture capital marketplace, , , ,fundersclub.com,@fundersclub,San Francisco 
OrbiMed,U.S-based venture capital and private equity firm investing on life sciences companies worldwide., , , ,orbimed.com,@orbimed,New York City San Francisco Mumbai Shanghai Herzliya Hong Kong 
Baxter International,Baxter International is a healthcare products manufacturing company. , , , ,baxter.com,@baxter_intl,"Deerfield, Illinois "
Aperture Venture Partners,"Aperture Venture Partners is a New York-based venture capital focused on medical device, pharmaceutical, healthcare, and diagnostic sectors.", ,2002, ,aperturevp.com, ,New York 
Aleph,Aleph is an Israel-based venture capital fund., , , ,aleph.vc,@aleph,Tel Aviv 
Artesian Capital Management,Venture capital, , , ,artesianinvest.com,@artesianvc,Sydney Australia 
.406 Ventures,".406 Ventures is a Boston, Massachusetts-based company that provides venture capital and operational expertise to early-stage and late-stage startups.", , , ,406ventures.com,@406Ventures,Boston 
Luminous Ventures,"Luminous Ventures is a London-based VC fund investing in Deep Tech with a focus on the application of artificial intelligence (AI), VR, AR, edge computing, robotics, quantum technologies and synthetic biology to healthcare, life science, nutrition, food and agriculture at Seed and Series A in Europe and North America", ,2018, ,luminous.vc,@luminousvc,London 
BoldStart Ventures,"BOLDstart Ventures is a venture capital firm specializing in providing seed, startup, and early stage investments.", , ,beyondvc.com ,boldstart.vc,@boldstartvc,New York 
Hummingbird Ventures,Hummingbird Ventures is a venture capital partner., , , ,hummingbird.vc,@HummingbirdVC, 
Acre Venture Partners,Acre is a venture capital fund investing in agriculture and food technology., , , ,acre.vc, ,"Santa Monica, California Greater Los Angeles Area "
Firstminute Capital,$100m European seed-stage venture capital fund, , , ,firstminute.capital,@firstminutecap,London 
Circle (company),"Circle is a peer-to-peer payments technology company that is headquartered in Boston, Massachusetts and was founded in 2013 by Jeremy Allaire and Sean Neville. ", ,Feb-13,blog.circle.com ,circle.com,@circlepay,Boston New York City 
IndieBio,"A startup accelerator for biotechnology companies located in San Francisco, California.", ,14-Nov-14, ,indiebio.co,@indbio,San Francisco 
Kaszek Ventures,Kaszek Ventures is a venture capital firm investing in technology-based companies whose main focus is Latin America., ,2011, ,kaszek.com,@kaszekventures,Buenos Aires 
Javelin Venture Partners,"Javelin Venture Partners is a venture capital firm that invests in early-stage tech companies, founded in 2008 and is based in San Francisco, California.", ,2008, ,javelinvp.com,@javelinvp,San Francisco 
Seedcamp,Seedcamp is a European investment firm and seed fund founded by Reshma Sohoni and Saul Klein in 2007. , ,1-May-07,seedcamp.com ,seedcamp.com,@seedcamp,London 
KEC Ventures,Early-stage venture capital firm in New York City. , , , ,kecventures.com,@kecventures,New York New York City 
Gigafund,"Gigafund is an investment fund focused on investing in technology companies with long term potential that is headquartered in Austin, Texas and was founded in 2017 by Luke Nosek and Stephan Oskoui. Notable investments made by Gigafund include: SpaceX , Golden, Luminous Computing, and The Boring Company. ", , , ,gigafund.com,@TheGigafund,"Austin, Texas United States "
Johnson & Johnson Innovation,?, , ,jnjinnovation.com/blog ,jnjinnovation.com, ,New York City San Diego San Francisco Toronto Houston Boston Belgium Shanghai 
Ameba Capital,Ameba Capital (?????) is a China-focused venture capital firm., ,2011, ,amebacapital.com/en/, , 
TCV,TCV is a growth equity firms and invests in public and private technology companies. , ,1995,medium.com/@TCV ,tcv.com,@tcvtech,"London Menlo Park, California New York City "
AgFunder,"An online venture capital platform for investing in agricultural and food technology companies that is based out of San Francisco, California that was founded by Melissa Tilney, Michael Dean, Rob Leclerc in 2013.", ,2013, ,agfunder.com,@agfunder,San Francisco 
Seventure Partners,"Seventure Partners is a venture capital firm investing in life science and digital technology companies that was founded in 1997 and headquartered in Paris, France. ", , , ,seventure.fr,@seventurep,Paris 
Lux Capital Management,Lux Capital Management is a venture capital firm based in NYC and Menlo Park that invests in early-stage science and tech ventures. Lux was founded in 2000. , , ,medium.com/@lux_capital ,luxcapital.com,@Lux_Capital,New York City 
Notation Capital,"Notation Capital is a Brooklyn, NY-based venture capital firm investing in pre-seed stage companies.", ,1-Oct-14,medium.com/notation-capital ,notation.vc,@notationcapital, 
Roark Capital Group,Roark Capital Group is an American private equity firm with nearly US$11.0 billion in equity capital., , , ,roarkcapital.com, ,Atlanta 
Obvious Ventures,?, ,2014,medium.com/obvious-ventures ,obvious.com,@obviousvc,San Francisco 
212 (venture capital),"212 is a venture capital firm based in Luxembourg that is focused on internet, communication and technology companies.", , , ,212.vc,@212vc,Luxembourg Istanbul Doha 
Invesco,"Invesco is an independent investment management firm that is based in Atlanta, Georgia and founded in 1969.", ,1969, ,invesco.com,@invescous,Asia Europe Middle East Africa North America United Kingdom Ireland 
Spark Capital,"Spark Capital is a venture capital firm founded in 2005 and headquartered in Boston, Massachusetts making early and growth investments in startup companies.", , ,sparkcapital.tumblr.com ,sparkcapital.com,@sparkcapital,Boston 
Temasek Holdings,Temasek Holdings is an investment company owned by the Government of Singapore that was founded in 1974. , , , ,temasek.com.sg,@temasek,Singapore 
OurCrowd,Equity crowdfunding marketplace for venture capital investments into startups., , ,blog.ourcrowd.com ,ourcrowd.com,@ourcrowd,Jerusalem 
Regal Funds Management,"Regal Funds Management is a Sydney, Australia based alternative investment management fund which operates various investment funds with differing investment strategies.", , , ,regalfm.com,@regalfunds,Sydney 
MicroVentures,"MicroVentures is an investing platform, enabling investor access to equity crowdfunding as well as other primary and secondary investment opportunities.", ,2009,microventures.com/blog ,microventures.com,@microventures,"Austin, Texas San Francisco "
Correlation Ventures,Correlation Ventures is a venture capital firm based in the United States., ,2006,medium.com/correlati...n-ventures ,correlationvc.com,@Correlationvc,"San Diego Palo Alto, California New York City "
