venturecaptialform,desc,keyppl,datefounded,blog,website,twitter,location
1776 (company),"1776 is a startup incubator founded in Washington, D.C. by entrepreneurs Evan Burfield and Donna Harris in 2013. ", ,2012,1776.vc/insights/ ,1776.vc,@@1776,"Washington, D.C. "
CM-CIC,CM-CIC Investissement is the equity financing arm of the Cre?dit Mutuel-CIC group., ,1998, ,cmcic-investissement.com/en/, ,Boston New York City Lyon Nantes Lille Bordeaux Strasbourg 
TA Ventures,TA Ventures is a venture capital firm investing in early stage mobility and digital health companies., ,2010, ,taventures.vc, ,Ukraine 
Thomvest Ventures,"Thomvest Ventures is a $500mm venture fund focused on investing in fintech and real estate tech, cybersecurity and cloud infrastructure, and sales and marketing tech.", ,1996,blog.thomvest.com ,thomvest.com,@thomvest,San Francisco Toronto 
Weekend Fund,A venture capital and angel investing firm focused on making early stage investments. , , , ,weekend.fund,@weekendfund,San Francisco 
Aikang Group,Aikang Group is a Beijing-based company founded in 1993., ,1993, ,aikanggroup.com/a/English/, ,Beijing 
R/GA Ventures,Venture capital & accelerator arm of R/GA advertising and design agency, , ,medium.com/rga-ventures ,ventures.rga.com,@rgaventures,New York City 
OpenView Venture Partners,American venture capital firm funding late stage worldwide companies expanding to North American markets., , ,labs.openviewpartners.com ,openviewpartners.com,@OpenViewVenture,Boston 
Slow Ventures,"A venture capital and private equity firm investing in technology, science, society, and culture. ", , ,medium.com/@slow ,slow.co,@slow,San Francisco Boston 
DBL Investors,DBL Investors is a San Francisco-based venture capital company founded in 2004., ,2004, ,dblinvestors.com, ,San Francisco 
Core Innovation Capital,Core Innovation Capital is a venture capital firm investing in companies committed to empowering small businesses., ,22-Mar-10,blog.corevc.com ,corevc.com,@coreEMC,San Francisco Los Angeles 
S3 Ventures,S3 Ventures is a venture capital firm investing in companies developing information technology solutions for businesses and medical devices., , , ,s3vc.com,@s3ventures,"Austin, Texas "
Azure Capital Partners,Azure Capital Partners is a San Francisco-based venture capital company founded in 2000., ,7-Apr-00, ,azurecap.com,@AzureCap,San Francisco 
Next Play Capital,"Next Play Capital is a fund-of-fund, tech-based, and sports industry startup venture capital firm.", , , ,nextplaycapital.com,@nextplaycapital, 
Frontier Venture Capital,"Seed and early stage venture capital firm with offices in Los Angeles, Portland, Sacramento, Santa Barbara and New York.", ,2002, ,draperfrontier.com,@dfj_frontier,"Los Angeles New York City Portland, Oregon Sacramento, California Santa Barbara, California Santa Monica, California "
Third Rock Ventures,"Third Rock Ventures is a venture capital firm based in Boston, founded in 2007, which invests in biotechnology startups.  ", , , ,thirdrockventures.com,@thirdrockv,Boston San Francisco 
Northstar Ventures,Northstar Ventures is a Newcastle upon Tyne-based venture capital company founded in 2004., ,2004,medium.com/@NorthstarVent ,northstarventures.co.uk,@northstarvent,Newcastle upon Tyne 
Root Ventures,"Root Ventures is a venture capital firm investing in early stage startup technology companies that is headquartered in San Francisco, California, and was founded in 2013 by Avidan Ross. ", , , ,root.vc,@rootvc, 
Clearstone Venture Partners,Clearstone Venture Partners is a Santa Monica based venture capital firm founded in 1997 by Bill Eikus. They invest in seed and early stage technology based companies., ,1997,clearstone.com/category/blogs/ ,clearstone.com,@clearstonevc,"Santa Monica, California "
PowerPlant Ventures,"PowerPlant Ventures is a venture capital firm founded in 2015 operating out of Manhattan Beach, California, providing capital to plant-centric food and beverage companies.", , , ,powerplantvc.com,@powerplantvc,Los Angeles 
83North,Israeli-based venture capital firm investing in start-ups in Europe and Israel. , , , ,83north.com,@83northvc,Herzliya 
Geekdom Fund,Geekdom Fund in a venture capital fund investing in early-stage technology companies. , ,6-May-14, ,geekdomfund.com,@geekdomfund,San Antonio 
Commerce Ventures,"Commerce Ventures is a venture capital firm focusing on investments in the e-commerce, retail, FinTech and Insurance sectors.", ,2013, ,commercevc.com,@commercevc,San Francisco 
WndrCo,WndrCo is a holding company based in Los Angeles and San Francisco focused on investing in consumer technology businesses., , , ,wndrco.com,@wndrco, 
Sante Ventures,A venture capital and private equity firm investing in early-stage life science companies. , ,2006, ,santeventures.com,@SanteVentures,"Austin, Texas "
New Science Ventures,New Science Ventures invests in companies in the life sciences and information technology sectors., ,2004, ,newscienceventures.com, ,New York City 
Three Arch Partners,"Three Arch Partners is a San Mateo, California-based company founded in 1993 by Mark Wan.", ,1993, ,threearchpartners.com, ,"San Mateo, California "
Invus,Invus is a company founded in 1985., ,1985, ,invus.com, ,"New York City Paris Hong Kong Newton, Massachusetts London "
Amazon Alexa Fund,"The Alexa Fund is a venture fund provides up to $100 million in venture capital funding to fuel voice technology innovation for developers, device-makers, and companies.", ,2015, ,alexafund.com,@alexadevs,"Palo Alto, California Seattle "
Mercato Partners,U.S-based venture capital firm investing on companies at the mid and late venture stage., , , ,mercatopartners.com,@mercatopartners,"Cottonwood Heights, Utah "
RBC Ventures,RBC Ventures invests in companies developing transformational technologies., ,2017, ,rbcventures.ca/en,@RBCVentures,Toronto 
National Grid Partners,National Grid Partners is a venture capital company founded in 2018., ,2018, ,nationalgrid.com/group/...entures,@ngpartners_,"London Los Gatos, California San Francisco Boston New York City "
Deutsche Beteiligungs,Deutsche Beteiligungs is a listed private equity firm based in Frankfurt. They specialize in management buyout and late stage transactions in middle market companies and invest across various funds., , , ,deutsche-beteiligung.de, ,Frankfurt 
Gaorong Capital,Venture capital firm previously known as Banyan Capital., ,2014, ,gaorongvc.com, ,"George Town, Cayman Islands "
Forward Partners,?, ,2012,forwardpartners.com/blog/ ,forwardpartners.com,@@ForwardPrt,London 
Bee Partners,"Bee Partners invests at the earliest stages of venture creation, providing capital and mentorship. Bee is based in San Francisco. ", ,2009,beepartners.vc/blog/ ,beepartners.vc,@beepartners,San Francisco 
Evergreen Venture Partners,"Evergreen Venture Partners was a Tel Aviv based venture capital firm. They invested in early and growth stage companies in the communications, internet, media, software, healthcare, pharmaceutical, medical device and clean technology sectors.", ,1987, ,evergreen.co.il,@EvergreenVC,Tel Aviv Israel 
Designer Fund,Designer Fund invests in early-stage startups who have designers in their founding team. , ,1-Apr-11,designerfund.com/blog ,designerfund.com,@designerfund, 
Encourage Capital,A new kind of investment firm that seeks to make profitable investments that solve critical social and environmental issues., ,2014, ,encouragecapital.com,@encouragecap,New York City 
Thompson Street Capital Partners,"A venture capital and private equity firm investing in service, manufacturing, and distribution businesses. ", , , ,tscp.com, ,St. Louis 
Episode 1 (company),Episode 1 is a London-based company founded in 2013., ,2013,medium.com/@episode1 ,episode1.com,@Episode1VC,London 
East Valley Ventures,"East Valley Ventures is a Saint John, New Brunswick-based venture capital company founded in 2012.", ,2012, ,eastvalleyventures.com,@EastValleyVent,"Saint John, New Brunswick "
GV,"The VC Fund formerly known as Google Ventures. GV provides venture capital funding across fields of life science, enterprise technology, consumer products and services and frontier technology. ", , ,library.gv.com ,gv.com,@gvteam,"Mountain View, California "
Oxford Capital Partners,Oxford Capital is a technology venture capital investor based in London and Oxford., ,1999, ,oxcp.com,@oxford_capital,London Oxford 
BroadOak Capital Partners,"BroadOak, and its principals, are active investors in life sciences companies having participated in over 25 investments in the public and private markets. ", ,2006, ,broadoak.com, ,"San Francisco Washington, D.C. "
Tandem Capital,Tandem Capital invests in technology companies in the Bay Area., ,2007,shift.tandemcap.com ,tandemcap.com,@tandemcapital,"Menlo Park, California "
Homebrew,Homebrew Ventures is a seed venture capital and operational company based in San Francisco. , , , ,homebrew.co,@homebrew,San Francisco 
Rally Ventures,"Rally Ventures is a venture capital firm based in Menlo Park, California and Minnetonka, Minnesota, founded by Charles Beeler in 2012.", ,2012, ,rallyventures.com,@rallyvc,"Minnetonka, Minnesota Menlo Park, California "
OVP Venture Partners,OVP Venture Partners is a venture capital firm specializing in early-stage technology-based companies., ,1983, ,ovp.com,@OVPventure,Seattle 
Qualitas Equity Partners,Qualitas Equity Partners is a Madrid based alternative investment management firm., , , ,qualitasequity.com/english, ,Madridanos 
Social Starts,Social Starts is a venture capital company founded in 2013., ,2013, ,socialstarts.com,@socialstarts,"San Francisco New York City Los Angeles Tokyo Portland, Oregon Austin, Texas Boston Singapore "
Broadview Ventures,Broadview Ventures is a Boston-based company founded in 1996., ,1996, ,broadviewventures.org, ,Boston 
ADM Ventures,#adm ventures is an advisory firm focused on digital and hi-tech companies., ,2015, ,adm-ventures.com, ,Lugano 
Investo,Investo is a venture capital company founded in 2010., ,2010, ,investovc.com,@Investomex,San Francisco Mexico City 
Bialla Venture Partners,Bialla Venture Partners is a Sausalito based venture capital firm which prefers investments at early stages across many sectors., , , ,bialla.com/bialla-ve...e-partners, ,"Sausalito, California "
Industry Ventures,?, , , ,industryventures.com,@industryvc,San Francisco 
CAPZA,CAPZA is a Paris based venture capital firm., , , ,capzanine.com,@capza_co,Paris France 
Intact Financial,Canadian financial corporation, , , ,intactfc.com,@intactfinancial,Toronto 
GSR Ventures,"GSR Ventures is a venture capital firm investing in early-stage technology companies including DiDi Chuxing, ele.me, Inke, ofo, Qunar, Shanghai DZH and Xiaohongshu.", ,2004, ,gsrventures.cn, ,"Palo Alto, California Singapore Beijing "
Bertelsmann Asia Investment,Bertelsmann Asia Investment is a venture capital company founded in 2008., ,2008, ,baifund.com, ,Beijing Shanghai 
Red Swan Ventures,"Red Swan invests in customer-centric, culture-generating and disruptive entrepreneurs.", ,2011, ,redswan.vc,@pitchbook,New York City 
Change Ventures,A venture capital firm investing in pre-seed and seed technology startup companies operating in the Baltic States. , ,2016,medium.com/@changeventures ,changeventures.com,@changeventures,Tallinn 
Radius Ventures,Radius Ventures is a New York-based venture capital company that invests in healthcare and life sciences companies., ,1997, ,radiusventures.com, ,New York City 
iSelect Fund,iSelect Fund is an early stage venture firm., ,2013,iselectfund.com/blog/ ,iselectfund.com,@iselectfund,St. Louis 
Liquid 2 Ventures,?, , , ,liquid2.vc, ,San Francisco 
Canvas Ventures,Canvas Ventures is a venture capital firm focused on making early-stage investments in technology companies., , , ,canvas.vc,@canvasvc,"Portola Valley, California "
Tsingyuan Ventures,Technology-focused venture fund investing in seed and Series A startups, , ,medium.com/tsingyuan-ventures ,tsingyuan.ventures,@TsingyuanVC,"Los Altos, California "
Quotidian Ventures,Quotidian Ventures is a New York City-based venture capital company founded in 2010., ,24-Sep-10, ,quotidian.co,@qventures,New York City 
Coinbase Ventures,An investment arm of Coinbase that aims to invest in early-stage cryptocurrency and blockchain startups, ,2018,blog.coinbase.com ,ventures.coinbase.com,@coinbase,San Francisco 
Project A Ventures,Project A Ventures is a Berlin-based venture capital company founded in 2012., ,2012, ,project-a.com,@projectacom,Berlin 
SoftBank Group,A multinational conglomerate holding company investing in businesses and technologies. , ,3-Sep-81, ,softbank.jp/en,@softbank,"Minato, Tokyo "
VaynerRSE,A venture capital firm in New York City founded in 2014 by Gary Vaynerchuk. ,Gary Vaynerchuk AJ Vaynerchuk , , ,vaynerrse.com,@garyvee,New York City 
Peninsula Ventures,Peninsula Ventures is an early-stage venture capital firm that funds technology companies in the United States., ,2000, ,peninsulaventures.com, ,"San Mateo, California "
Qumra Capital,A , ,2014, ,qumracapital.com,@qumracapital,Tel Aviv 
SRI Capital,SRI Capital is a venture capital company founded in 2007 by Sashi Reddi., ,2007, ,sricapital.com,@sri_capital,Philadelphia Hyderabad 
Greenoaks Capital,A San Francisco-based venture capital firm that invests in technology-enabled businesses         , ,2010, ,greenoakscap.com, ,San Francisco 
Formation 8,"A California-based technology investment firm that focuses on seed, early, and later stage smart enterprise and energy technology venture investments", ,2011, ,formation8.com,@formation8vc,San Francisco 
Divergent Ventures,Divergent Ventures is a venture capital firm investing in early-stage cloud computing and big data companies. , ,2005,divergent.com/category/blog/ ,divergentvc.com,@divergentvc,Seattle 
500 Durians,"500 Durians is a venture capital firm that helps entrepreneur create successful companies at scale, and build thriving global ecosystems.", ,2013, ,durians.500.co,@500Startups_SEA,Singapore San Francisco 
Unitus Ventures,"Indian early stage venture capital fund investing in edtech, fintech, heatlhcare, jobtech and business services sectors.", , , ,unitus.vc,@unitusventures,India Bangalore 
Project A (venture capital firm),?, ,2012,insights.project-a.com ,project-a.com,@projectacom,Berlin 
Edison Partners,Edison Partners is a growth Equity Investment Firm., ,1986,edisonpartners.com/blog ,edisonpartners.com,@edisonventure,"Princeton, New Jersey "
Bay Partners (company),"Bay Partners is a Palo Alto, California-based company founded in 1976.", ,1976, ,baypartners.com,@baypartnersnews,"Palo Alto, California "
AllegisCyber Capital,AllegisCyber Capital is a venture capital company founded in 1996 by Robert Ackerman., ,1996,insights.allegiscyber.com ,allegiscyber.com,@allegiscyber,"Palo Alto, California Fulton, Maryland "
iGan Partners,iGan Partners is a Toronto-based company founded in 2013 by Sam Ifergan., ,2013,medium.com/igan-partners ,iganpartners.com,@iganvc,Toronto 
Aurus,"Aurus is a Santiago, Chile based company founded in 2008.", ,1-Jul-08, ,aurus.cl,@AurusVC,Lo Barnechea 
Picoty,A private firm founded in 1932 that imports and distributes petroleum products in France, ,1932, ,picoty.fr/filiales,@PicotyEvenement,France Limousin 
PM & Partners,"PM & Partners is a private equity firm investing in mid-sized Italian companies in the mechanical engineering, pharmaceutical, cosmetics, consumer goods, food, packaging and services sectors. They are based out of Milan and Rome.", , , ,pm-partners.it, ,Milan Rome 
Peak Ventures,Peak Ventures is a Utah based seed venture capital firm. It was founded by Jeff Burningham in 2009. , , , ,peakventures.vc,@Peak_Ventures,"Provo, Utah "
RPM Ventures,RPM Ventures invests in business-to-business and business-to-business-to-consumer technology companies., ,2000,rpmvc.com/news/ ,rpmvc.com,@rpmvc,"Ann Arbor, Michigan "
DeNovo Ventures,"DeNovo Ventures is a Saratoga, California-based company founded in 2000.", ,2000, ,denovovc.com, ,"Saratoga, California "
Emergence Capital Partners,Early stage , , ,emcap.com/thoughts/ ,emcap.com,@emergencecap,"San Mateo, California "
Stray Dog Capital,"Stray Dog Capital a venture capital firm that provides early stage capital to businesses that support the production of plant-based products that replace animal products. Stray Dog Capital was founded in 2013 by Chuck Laue and Jennifer Laue, and is headquartered in ", , , ,straydogcapital.com, ,"Kansas City, Missouri "
BR Ventures,Big Red Ventures is Cornell University's venture capital fund run by graduate business students at the Johnson School of Management, ,2001,medium.com/big-red-ventures ,brventurefund.com,@brventurefund,"Ithaca, New York "
Flagship Pioneering,U.S-based venture capital firm funding U.S-startups in the life science industry., , , ,flagshippioneering.com,@flagshippioneer,"Cambridge, Massachusetts "
Morgan Stanley Alternative Investment Partners,"Morgan Stanley Alternative Investment Partners is a private equity and investment management division of Morgan Stanley. They offer wealth management, advisory and related services.", , , ,morganstanley.com/aip/in...ex.html, ,New York City 
3Lines Venture Capital,"3Lines is a multi-region venture fund with an investment focus of AI, IoT, SaaS software in USA and AgriTech start-ups in INDIA.", , , ,3lines.vc,@threelinesus,Denver 
Detroit Venture Partners,Detroit Venture Partners is a venture capital firm backing seed and early stage startup companies., ,2-Nov-10, ,detroit.vc,@dvpfund,Detroit 
General Catalyst,"A venture capital firm that invests in early state start ups in education, research, health care, and social work. ", , ,medium.com/@gcvp ,generalcatalyst.com,@gcvp,"Cambridge, Massachusetts "
Contour Venture Partners,Contour Venture Partners is an early-stage venture capital firm., ,2001, ,contourventures.com, ,New York City 
Fuel Capital,U.S.-based venture capital firm funding early-stage startups., , , ,fuelcapital.com,@fuelcapital,"Burlingame, California "
Forgepoint Capital,"ForgePoint Capital, formerly Trident Capital Cybersecurity, focuses on advancing the cybersecurity ecosystem by connecting entrepreneurs, corporate and government customers, strategic partners, advisors, and executives to forge the next generation of cybersecurity companies that protect the digital world.", ,2015,insights.forgepointcap.com ,forgepointcap.com, ,"San Mateo, California "
Frog Capital,Frog Capital invests in growth-stage companies in Europe., ,2009, ,frogcapital.com,@frogcapital,London 
Kurma Partners,Kurma Partners invests in healthcare and biotechnology companies in Europe., ,2009, ,kurmapartners.com,@kurmapartners,Paris 
Genomic Health,Genomics testing company, ,22-Aug-00, ,genomichealth.com,@GenomicHealth,"Redwood City, California "
Amadeus Capital Partners,?, ,1997, ,amadeuscapital.com,@amadeuscapital,London 
AirTree Ventures,A venture capital and private equity firm investing primarily in technology companies. , ,2014,medium.com/airtree-venture ,airtree.vc,@airtreevc,Paddington 
Cendana Capital,Cendana Capital is an investment company specialized in seed- and early-stage venture investments., ,2009, ,cendanacapital.com,@cendanacapital,San Francisco 
Cambridge Innovation Capital,Cambridge Innovation Capital is a venture capital firm that invests in technology and healthcare companies companies., , , ,cicplc.co.uk,@cambsinnovation,"Cambridge, Cambridgeshire "
El Dorado Ventures,"El Dorado Ventures is a Menlo Park, California-based venture capital company founded in 1986.", ,1986, ,eldorado.com,@eldoradovc,"Menlo Park, California "
Eden Ventures,Eden Ventures is a UK-based venture capital company founded in 2002 and investing in technology based companies., ,2002, ,edenventures.co.uk,@edenventures,London 
Sherpa Capital,Sherpa Capital is a San Francisco-based venture capital company founded in 2013., ,2013, ,sherpa.com, ,San Francisco 
RiverVest Venture Partners,RiverVest Venture Partners invests in early-stage life science companies., ,2000, ,rivervest.com,@RiverVest,St. Louis Cleveland San Diego 
Axon Partners Group,"Axon Partners Group is an investment, corporate development, and consulting firm.", ,2006, ,axonpartnersgroup.com,@axonpg,Madrid Bogotá Istanbul Seville 
Winklevoss Capital Management,Winklevoss Capital Management is a New York based venture capital company that provides fundings to promising startups and determined entrepreneurs., ,2012, ,winklevosscapital.com,@winklevosscap,Flatiron District 
Ludlow Ventures,"Ludlow Ventures provides entrepreneurs and startups with seed and early stage, and debt financing investments.", , , ,ludlowventures.com,@ludlowventures,Detroit 
Earlybird Venture Capital,Germany-based venture capital firm focused on European tech startups., , ,medium.com/birds-view ,earlybird.com,@earlybirdvc, 
Redalpine Capital,Redalpine is a seed and early-stage venture capital firm. It focuses on information technology and life sciences startups in Europe., ,2007,redalpine.com/blog/ ,redalpine.com,@redalpine,Zürich 
Seedrocket,"Seedrocket is a Barcelona, Spain based startup accelerator with a focus on technology based startups.", ,2008,seedrocket.com/blog ,seedrocket.com,@seedrocket,Barcelona 
Sand Hill Angels,"Sand Hill Angels is a Mountain View, California-based venture capital company founded in 2000.", ,2000, ,sandhillangels.com,@sandhillangels,"Mountain View, California "
BREEGA CAPITAL,"BREEGA CAPITAL is a Paris-based company founded in 2013 by François Paulus, Maximilien Bacot and Ben Marrel.", ,2013, ,breega.com,@breegavc,Paris 
SeventySix Capital,"SeventySix Capital is at the epicenter of sports & tech, investing in smart and nice entrepreneurs who are building game changing startups.", , , ,seventysixcapital.com,@76capital,"Conshohocken, Pennsylvania "
Zeno Ventures,Zeno Ventures invests in early stage technology enabled companies addressing consumer and enterprise markets., ,2016, ,zenoventures.com, ,San Francisco 
Tekton Ventures,Tekton Ventures is an investment firm focused on technology companies., ,2009, ,tektonventures.com,@tektonventures,San Francisco 
LionBird,"LionBird invests in and supports early stage startups using technology to improve offline processes in healthcare, commerce and enterprise.", , , ,lionbird.com,@LionBirdVC,Tel Aviv 
Covera Ventures,"Covera Ventures is an Austin, Texas-based venture capital company founded in 2009.", ,2009, ,coveraventures.com, ,"Austin, Texas "
Swan & Legend Venture Partners,"SWaN & Legend Venture Partners was formed in 2012 through the combination of SWaN Investors, a firm created by the management team who", ,2012, ,swanandlegend.com, ,"Leesburg, Ohio New York City "
Mangrove Capital Partners,?, ,2000, ,mangrove.vc,@mangrovevc,Luxembourg 
Peak State Ventures,"Peak State Ventures invests in companies developing technologies in real estate, digital healthcare, and the future of work sectors.", ,2017, ,peakstate.vc, ,San Francisco New York City 
India Quotient,"India Quotient is a venture capital firm investing in big data, artificial intelligence and blockchain companies in India.", ,2011,medium.com/@IndiaQuotient ,indiaquotient.in,@indiaquotient,Mumbai 
Time Warner Investments,Time Warner Investments is an investor of an early to midstage companies that can generate strategic value for the Time Warner's businesses., , , ,timewarner.com/our-com...estments,@warnermediagrp,New York City 
SpeedUp Venture Capital Group,SpeedUp Venture Capital Group is a Pozna?-based company founded in 2009., ,2009, ,speedupgroup.com,@speedupgroup,Pozna? 
FreshTracks Capital,FreshTracks Capital invests in seed and early stage financing businesses in Vermont and neighboring regions., ,2000,freshtrackscap.com/blogs/home/ ,freshtrackscap.com,@@freshtrackscap,"Shelburne, Vermont "
Kodiak Venture Partners,"Kodiak Venture Partners is a Waltham, Massachusetts-based company founded in 1999.", ,1999, ,kodiakvp.com, ,"Waltham, Massachusetts "
Mitsubishi UFJ Capital,"Mitsubishi UFJ Capital is a venture capital firm focusing on life science, ICT and high technology investments.", ,1-Aug-74, ,mucap.co.jp/english/, ,Tokyo Japan 
Telegraph Hill Capital,"Telegraph Hill Capital invests in early stage companies focused on logistics, property technology, agriculture, commerce, education, health and fitness, financial technology, IoT and cybersecurity.", ,2007, ,thcap.com,@lgroy,San Francisco 
Artha India Ventures,A , , , ,artha.ventures,@arthaINventures,Mumbai 
Unusual Ventures,"Unusual Ventures invests in early stage enterprise and consumer technology companies and provides significant support with recruiting, sales, and marketing.", , , ,unusual.vc,@unusual_vc, 
IndusAge Partners,"IndusAge Partners invests in technology companies focused on IoT, analytics, software, consumer internet and media, biotechnology and health, semiconductors and systems, energy efficiency, and advanced machines and intelligence.", ,2000, ,indusage.com,@IndusAge,"Burlingame, California Bangalore "
Bits x Bites,"Bits x Bites is a startup accelerator and venture capital firm headquartered in Shanghai, China founded in 2015 by Eric Sun. The firm makes investments and offers accelerator program to entrepreneurs and companies working to accelerate the development of a sustainable food system. ", , , ,bitsxbites.com,@bitsxbites, 
Cervin Ventures,Cervin Ventures is a seed stage venture capital firm focused on business-to-business and enterprise startup companies., ,2008,medium.com/@cervinventures ,cervinventures.com,@cervinventures,"Palo Alto, California San Francisco "
Collaborative Fund,"Collaborative Fund is a venture capital firm with four funds focusing on cities, kids, consumers, and financial technology. ", ,2010, ,collaborativefund.com,@collabfund,New York City 
Kenetic Capital,Kenetic Capital is a Hong Kong based blockchain investment company that targets projects that are aimed at the development and adoption of blockchain platforms., , , ,kenetic.capital,@keneticcapital, 
LLR Partners,"LLR Partners, a private equity firm based in Philadelphia, Pennsylvania, which provides capital to middle market growth companies.", ,1999,llrpartners.com/grow/learn/ ,llrpartners.com,@llrpartners,Philadelphia 
Sinai Ventures,Sinai Ventures invests in internet and software companies., , ,medium.com/@sinaiventures ,sinaivc.com,@sinaiventures,"Palo Alto, California Los Angeles New York City "
Albion Ventures,AlbionVC invests in companies focused on business-to-business software and technology-enabled services in the United Kingdom., , ,albion.vc/insights ,albion.vc,@albionvc,London 
Emerge Education,Emerge Education is a Europe-based seed investor for educational technology companies. , , ,medium.com/emerge-ed...h-insights ,emergeedu.com,@emergelab, 
KPN Ventures,"KPN Ventures invests in IoT, connected home, digital health, cyber security, networking technology, cloud computing, data and analytics companies.", ,2015,medium.com/kpn-ventures ,kpnventures.com,@kpnventures,Rotterdam 
Auriga Partners,Auriga Partners is a Paris-based company founded in 1998., ,1998, ,aurigapartners.com,@aurigapartners,Paris 
Comerica Bank,"A financial services company headquartered in Dallas, Texas with three business segments: The Business Bank, The Retail Band and Wealth Management. The company founded by Elon Farnsworth", , , ,comerica.com,@comericabank,Detroit Dallas 
Duchossois Technology Partners,Duchossois Technology Partners is the corporate venture arm of The Duchossois Group and invests in technology based companies across all maturity stages., , , ,duchtech.com, ,Chicago Illinois 
NFX,NFX is a venture capital firm with locations in , , ,essays.nfx.com ,nfx.com,@NFXGuild,"Palo Alto, California San Francisco Israel "
Prehype (company),A venture development firm headquartered in New York City. , , , ,prehype.com,@prehype,New York City London Copenhagen 
Enspire Capital,Enspire Capital is a Singapore-based venture capital company founded in 1997., ,1997, ,enspire.vc, ,Singapore 
Redline Capital Management,"Redline Capital Management manages a Luxembourg based, regulated fund, investing in Tech companies across North America, Europe & Israel.", ,2014, ,redline-capital.com, ,Luxembourg London 
"Applied Ventures, LLC","Applied Ventures, LLC is a Santa Clara, California-based venture capital firm founded in 2001.", ,2001,blog.appliedmaterials.com ,appliedmaterials.com/comp...tures,@applied_vc,"Santa Clara, California "
New Markets Venture Partners,?, ,2003, ,newmarketsvp.com,@newmarketsvp,"Fulton, Maryland "
International Finance Corporation,International Finance Corporation is a private equity and venture capital subsidiary focused on the private sector in developing countries., ,1956,medium.com/@IFC_org ,ifc.org,@ifc_org,"Washington, D.C. "
Bolt (hardware company),VC Firm investing at the intersection of hardware and software, , ,blog.bolt.io ,bolt.io,@boltvc, 
Naissance Capital,Naissance Capital is a Swiss investment boutique that finds or creates niche investment opportunities. Naissance Capital was founded in 1999 with the assistance John Templeton and several families of considerable means., ,1999, ,naissancecapital.com, , 
Ignition Partners,Ignition Partners is a venture capital firm investing in early-stage enterprise software companies., ,2000,medium.com/@Ignition_Partners ,ignitionpartners.com,@ignitionVC,"Los Altos, California Bellevue, Washington "
Mission Ventures,"Mission Ventures is a San Diego based venture capital firm focused on seed and early-stage investment in communications, enterprise applications, infrastructure and technology-driven services companies.", ,1996, ,missionventures.com, ,San Diego 
Matter Ventures,A San Francisco-based accelerator firm that invests in the media sector, ,2012,medium.com/matter-dr...-narrative ,matter.vc,@matter.vc,San Francisco 
Next Coast Ventures,"Next Coast Ventures, LLC operates as a venture capital firm. The Company focuses on early stage investments in consumer internet, enterprise software, and mobile commerce industries. Next Coast Ventures serves clients in the United States.", ,2015, ,nextcoastventures.com,@nextcoastvp,"Austin, Texas "
Multicoin Capital,?, ,2017,multicoin.capital ,multicoin.capital,@multicoincap,"Austin, Texas "
M. H. Carnegie & Co.,M. H. Carnegie & Co. is an alternative asset manager which invests across a range of asset classes and investment sectors, , , ,mhcarnegie.com, ,Sydney 
PAR Equity,PAR Equity is a Edinburgh-based venture capital company founded in 2008., ,2008, ,parequity.com,@parequity,Edinburgh 
Initial Capital,"Initial Capital is a venture capital firm investing in companies developing games, consumer services and technology.", ,2010, ,initialcapital.com,@initialcapital,London 
Karlani Capital,"Karlani Capital builds, buys, and invests in technology-enabled companies, founded in 2013 and based in New York.", , , ,karlani.com,@karlanicapital,New York 
Dragoneer Investment Group,"Dragoneer is a long-only, growth-oriented public and private investor based in San Francisco.", ,2012, ,dragoneer.com, ,San Francisco 
JAFCO Asia,JAFCO Asia is a venture capital firm for technology related companies and investors., ,1990, ,jafcoasia.com, ,Singapore 
M13,A venture capital and private equity firm investing in consumer technology companies. , , ,m13.co/category/m13-blog/ ,m13.co,@M13Company,"Santa Monica, California "
Upslope Ventures,"Formerly Galvanize Ventures, Upslope Ventures is a venture capital fund that invests in startup software development and technology companies.", ,2013, ,upslope.vc,@upslopevc,Denver 
Fenbushi Capital,Fenbushi Capital is a venture capital firm investing in blockchain-based companies. , , , ,fenbushi.vc,@fenbushi,Shanghai 
Clear Ventures,Clear is a VC firm that helps startup teams in business technology and services., ,6-Jan-14, ,clear.ventures,@clearventures,"Palo Alto, California "
Panoramic Growth Equity,A venture capital and private equity firm investing in growth-stage small and medium sized businesses. , ,2009, ,pgequity.com,@Pgequity,London 
Adlevo Capital,Adlevo Capital is a Nigeria-based company founded in 2009 by Yemi Lalude., ,13-Nov-09, ,adlevocapital.com,@adlevocapital,Lagos Port Louis 
V1.VC,V1.VC is a seed stage venture capital and private equity firm. , , ,medium.com/v1-vc ,v1.vc,@v1vc,San Francisco 
StartX,StartX is a non-profit organization whose mission is to accelerate the development of Stanford's top entrepreneurs through experiential education., , , ,startx.stanford.edu,@StartX, 
Foundation Capital,Foundation capital is a venture capital firm founded by Bill Elmore and Kathryn Gould., ,1995,facebook.com/foundationcapital ,foundationcap.com,@foundationcap,"Menlo Park, California Palo Alto, California "
Amphion Innovations,"Amphion Innovations is a principal investment firm specializing in early-stage medical, life sciences, and technology companies.", ,1984, ,amphionplc.com, ,"New York City London Douglas, Isle of Man "
Radical Ventures,A venture capital and private equity firm investing in deep technology companies. , ,2017, ,radical.vc,@radicalvcfund,Toronto 
